guns NOT detected2020-10-29 23:55:14.979813
guns NOT detected2020-10-29 23:55:15.032953
guns NOT detected2020-10-29 23:55:15.079734
guns NOT detected2020-10-29 23:55:15.129145
guns NOT detected2020-10-29 23:55:15.177253
guns NOT detected2020-10-29 23:55:15.224674
guns NOT detected2020-10-29 23:55:15.271804
guns NOT detected2020-10-29 23:55:15.322393
guns NOT detected2020-10-29 23:55:15.369891
guns NOT detected2020-10-29 23:55:15.418043
guns NOT detected2020-10-29 23:55:15.475069
guns NOT detected2020-10-29 23:55:15.528182
guns NOT detected2020-10-29 23:55:15.577131
guns NOT detected2020-10-29 23:55:15.625798
guns NOT detected2020-10-29 23:55:15.673712
guns NOT detected2020-10-29 23:55:15.721917
guns NOT detected2020-10-29 23:55:15.768173
guns NOT detected2020-10-29 23:55:15.814645
guns NOT detected2020-10-29 23:55:15.862319
guns NOT detected2020-10-29 23:55:15.910021
guns NOT detected2020-10-29 23:55:15.957695
guns NOT detected2020-10-29 23:55:16.005206
guns NOT detected2020-10-29 23:55:16.053479
guns NOT detected2020-10-29 23:55:16.101582
guns NOT detected2020-10-29 23:55:16.148792
guns NOT detected2020-10-29 23:55:16.194764
guns NOT detected2020-10-29 23:55:16.241300
guns NOT detected2020-10-29 23:55:16.287986
guns NOT detected2020-10-29 23:55:16.337828
guns NOT detected2020-10-29 23:55:16.384974
guns NOT detected2020-10-29 23:55:16.434699
guns NOT detected2020-10-29 23:55:16.491684
guns NOT detected2020-10-29 23:55:16.538867
guns detected at: 2020-10-29 23:55:16.586538
guns detected at: 2020-10-29 23:55:16.636635
guns detected at: 2020-10-29 23:55:16.686757
guns detected at: 2020-10-29 23:55:16.737154
guns detected at: 2020-10-29 23:55:16.789034
guns detected at: 2020-10-29 23:55:16.838338
guns detected at: 2020-10-29 23:55:16.886532
guns detected at: 2020-10-29 23:55:16.935724
guns detected at: 2020-10-29 23:55:16.983147
guns detected at: 2020-10-29 23:55:17.031135
guns detected at: 2020-10-29 23:55:17.079013
guns detected at: 2020-10-29 23:55:17.127644
guns detected at: 2020-10-29 23:55:17.176099
guns detected at: 2020-10-29 23:55:17.225262
guns detected at: 2020-10-29 23:55:17.274974
guns detected at: 2020-10-29 23:55:17.325962
guns detected at: 2020-10-29 23:55:17.377495
guns detected at: 2020-10-29 23:55:17.428091
guns detected at: 2020-10-29 23:55:17.485041
guns detected at: 2020-10-29 23:55:17.538992
guns detected at: 2020-10-29 23:55:17.588965
guns detected at: 2020-10-29 23:55:17.638688
guns detected at: 2020-10-29 23:55:17.689230
guns detected at: 2020-10-29 23:55:17.738988
guns detected at: 2020-10-29 23:55:17.789086
guns detected at: 2020-10-29 23:55:17.839482
guns detected at: 2020-10-29 23:55:17.889623
guns detected at: 2020-10-29 23:55:17.940133
guns detected at: 2020-10-29 23:55:17.992460
guns detected at: 2020-10-29 23:55:18.042752
guns detected at: 2020-10-29 23:55:18.094828
guns detected at: 2020-10-29 23:55:18.144319
guns detected at: 2020-10-29 23:55:18.195394
guns detected at: 2020-10-29 23:55:18.245364
guns detected at: 2020-10-29 23:55:18.313997
guns detected at: 2020-10-29 23:55:18.364252
guns detected at: 2020-10-29 23:55:18.416265
guns detected at: 2020-10-29 23:55:18.466908
guns detected at: 2020-10-29 23:55:18.527995
guns detected at: 2020-10-29 23:55:18.577765
guns detected at: 2020-10-29 23:55:18.627018
guns detected at: 2020-10-29 23:55:18.678312
guns detected at: 2020-10-29 23:55:18.730058
guns detected at: 2020-10-29 23:55:18.782694
guns detected at: 2020-10-29 23:55:18.834777
guns detected at: 2020-10-29 23:55:18.885133
guns detected at: 2020-10-29 23:55:18.934832
guns detected at: 2020-10-29 23:55:18.986295
guns detected at: 2020-10-29 23:55:19.036086
guns detected at: 2020-10-29 23:55:19.089127
guns detected at: 2020-10-29 23:55:19.138445
guns detected at: 2020-10-29 23:55:19.192026
guns detected at: 2020-10-29 23:55:19.241768
guns detected at: 2020-10-29 23:55:19.290952
guns detected at: 2020-10-29 23:55:19.342020
guns detected at: 2020-10-29 23:55:19.392462
guns detected at: 2020-10-29 23:55:19.444943
guns detected at: 2020-10-29 23:55:19.504041
guns detected at: 2020-10-29 23:55:19.559616
guns detected at: 2020-10-29 23:55:19.611705
guns detected at: 2020-10-29 23:55:19.660374
guns detected at: 2020-10-29 23:55:19.712352
guns detected at: 2020-10-29 23:55:19.763934
guns detected at: 2020-10-29 23:55:19.818100
guns detected at: 2020-10-29 23:55:19.868566
guns detected at: 2020-10-29 23:55:19.921977
guns detected at: 2020-10-29 23:55:19.972404
guns detected at: 2020-10-29 23:55:20.024818
guns detected at: 2020-10-29 23:55:20.075190
guns detected at: 2020-10-29 23:55:20.129897
guns detected at: 2020-10-29 23:55:20.179138
guns detected at: 2020-10-29 23:55:20.229889
guns detected at: 2020-10-29 23:55:20.281352
guns detected at: 2020-10-29 23:55:20.334286
guns detected at: 2020-10-29 23:55:20.386165
guns detected at: 2020-10-29 23:55:20.438418
guns detected at: 2020-10-29 23:55:20.491953
guns detected at: 2020-10-29 23:55:20.547610
guns detected at: 2020-10-29 23:55:20.599401
guns detected at: 2020-10-29 23:55:20.651069
guns detected at: 2020-10-29 23:55:20.701941
guns detected at: 2020-10-29 23:55:20.753289
guns detected at: 2020-10-29 23:55:20.806558
guns detected at: 2020-10-29 23:55:20.858229
guns detected at: 2020-10-29 23:55:20.909231
guns detected at: 2020-10-29 23:55:20.959402
guns detected at: 2020-10-29 23:55:21.015452
guns detected at: 2020-10-29 23:55:21.070600
guns detected at: 2020-10-29 23:55:21.121883
guns detected at: 2020-10-29 23:55:21.173335
guns detected at: 2020-10-29 23:55:21.224417
guns detected at: 2020-10-29 23:55:21.276120
guns detected at: 2020-10-29 23:55:21.325829
guns detected at: 2020-10-29 23:55:21.375378
guns detected at: 2020-10-29 23:55:21.425626
guns detected at: 2020-10-29 23:55:21.483457
guns detected at: 2020-10-29 23:55:21.542100
guns detected at: 2020-10-29 23:55:21.595463
guns detected at: 2020-10-29 23:55:21.646029
guns detected at: 2020-10-29 23:55:21.697075
guns detected at: 2020-10-29 23:55:21.747854
guns detected at: 2020-10-29 23:55:21.799314
guns detected at: 2020-10-29 23:55:21.849125
guns detected at: 2020-10-29 23:55:21.900120
guns detected at: 2020-10-29 23:55:21.952277
guns detected at: 2020-10-29 23:55:22.004798
guns detected at: 2020-10-29 23:55:22.055054
guns detected at: 2020-10-29 23:55:22.108049
guns detected at: 2020-10-29 23:55:22.159070
guns detected at: 2020-10-29 23:55:22.210030
guns detected at: 2020-10-29 23:55:22.260492
guns detected at: 2020-10-29 23:55:22.311618
guns detected at: 2020-10-29 23:55:22.363307
guns detected at: 2020-10-29 23:55:22.415935
guns detected at: 2020-10-29 23:55:22.467744
guns detected at: 2020-10-29 23:55:22.523626
guns detected at: 2020-10-29 23:55:22.585289
guns detected at: 2020-10-29 23:55:22.638164
guns detected at: 2020-10-29 23:55:22.689653
guns detected at: 2020-10-29 23:55:22.741406
guns detected at: 2020-10-29 23:55:22.793721
guns detected at: 2020-10-29 23:55:22.850982
guns detected at: 2020-10-29 23:55:22.907562
guns detected at: 2020-10-29 23:55:22.959500
guns detected at: 2020-10-29 23:55:23.011233
guns detected at: 2020-10-29 23:55:23.065534
guns detected at: 2020-10-29 23:55:23.116622
guns detected at: 2020-10-29 23:55:23.167954
guns detected at: 2020-10-29 23:55:23.217300
guns detected at: 2020-10-29 23:55:23.268505
guns detected at: 2020-10-29 23:55:23.319448
guns detected at: 2020-10-29 23:55:23.370531
guns detected at: 2020-10-29 23:55:23.422293
guns detected at: 2020-10-29 23:55:23.480516
guns detected at: 2020-10-29 23:55:23.533204
guns detected at: 2020-10-29 23:55:23.588575
guns detected at: 2020-10-29 23:55:23.637476
guns detected at: 2020-10-29 23:55:23.686397
guns detected at: 2020-10-29 23:55:23.735640
guns detected at: 2020-10-29 23:55:23.785564
guns detected at: 2020-10-29 23:55:23.836981
guns detected at: 2020-10-29 23:55:23.888071
guns detected at: 2020-10-29 23:55:23.940581
guns detected at: 2020-10-29 23:55:23.994680
guns detected at: 2020-10-29 23:55:24.050917
guns detected at: 2020-10-29 23:55:24.101953
guns detected at: 2020-10-29 23:55:24.154144
guns detected at: 2020-10-29 23:55:24.204821
guns detected at: 2020-10-29 23:55:24.254364
guns detected at: 2020-10-29 23:55:24.306485
guns detected at: 2020-10-29 23:55:24.356897
guns detected at: 2020-10-29 23:55:24.409150
guns detected at: 2020-10-29 23:55:24.459022
guns detected at: 2020-10-29 23:55:24.518781
guns detected at: 2020-10-29 23:55:24.574436
guns detected at: 2020-10-29 23:55:24.628105
guns detected at: 2020-10-29 23:55:24.679128
guns detected at: 2020-10-29 23:55:24.730290
guns detected at: 2020-10-29 23:55:24.780785
guns detected at: 2020-10-29 23:55:24.832460
guns detected at: 2020-10-29 23:55:24.881869
guns detected at: 2020-10-29 23:55:24.931594
guns detected at: 2020-10-29 23:55:24.981676
guns detected at: 2020-10-29 23:55:25.032929
guns detected at: 2020-10-29 23:55:25.083936
guns detected at: 2020-10-29 23:55:25.135268
guns detected at: 2020-10-29 23:55:25.185173
guns detected at: 2020-10-29 23:55:25.236515
guns detected at: 2020-10-29 23:55:25.285256
guns detected at: 2020-10-29 23:55:25.333774
guns detected at: 2020-10-29 23:55:25.382329
guns detected at: 2020-10-29 23:55:25.430775
guns detected at: 2020-10-29 23:55:25.488210
guns detected at: 2020-10-29 23:55:25.539123
guns detected at: 2020-10-29 23:55:25.592778
guns detected at: 2020-10-29 23:55:25.641500
guns detected at: 2020-10-29 23:55:25.690967
guns detected at: 2020-10-29 23:55:25.740382
guns detected at: 2020-10-29 23:55:25.790232
guns detected at: 2020-10-29 23:55:25.840309
guns detected at: 2020-10-29 23:55:25.889747
guns detected at: 2020-10-29 23:55:25.940317
guns detected at: 2020-10-29 23:55:25.989191
guns detected at: 2020-10-29 23:55:26.038656
guns detected at: 2020-10-29 23:55:26.088361
guns detected at: 2020-10-29 23:55:26.139486
guns detected at: 2020-10-29 23:55:26.189902
guns detected at: 2020-10-29 23:55:26.241558
guns detected at: 2020-10-29 23:55:26.294642
guns detected at: 2020-10-29 23:55:26.345564
guns detected at: 2020-10-29 23:55:26.395837
guns detected at: 2020-10-29 23:55:26.446404
guns detected at: 2020-10-29 23:55:26.500759
guns detected at: 2020-10-29 23:55:26.551779
guns detected at: 2020-10-29 23:55:26.609820
guns detected at: 2020-10-29 23:55:26.667821
guns detected at: 2020-10-29 23:55:26.720023
guns detected at: 2020-10-29 23:55:26.772511
guns detected at: 2020-10-29 23:55:26.826463
guns detected at: 2020-10-29 23:55:26.876895
guns detected at: 2020-10-29 23:55:26.928549
guns detected at: 2020-10-29 23:55:26.981486
guns detected at: 2020-10-29 23:55:27.035070
guns detected at: 2020-10-29 23:55:27.090772
guns detected at: 2020-10-29 23:55:27.144124
guns detected at: 2020-10-29 23:55:27.196075
guns detected at: 2020-10-29 23:55:27.249092
guns detected at: 2020-10-29 23:55:27.300638
guns detected at: 2020-10-29 23:55:27.352155
guns detected at: 2020-10-29 23:55:27.403653
guns detected at: 2020-10-29 23:55:27.456451
guns detected at: 2020-10-29 23:55:27.512161
guns detected at: 2020-10-29 23:55:27.573492
guns detected at: 2020-10-29 23:55:27.635083
guns detected at: 2020-10-29 23:55:27.691074
guns detected at: 2020-10-29 23:55:27.745952
guns detected at: 2020-10-29 23:55:27.799706
guns detected at: 2020-10-29 23:55:27.851921
guns detected at: 2020-10-29 23:55:27.904124
guns detected at: 2020-10-29 23:55:27.957280
guns detected at: 2020-10-29 23:55:28.010589
guns detected at: 2020-10-29 23:55:28.063667
guns detected at: 2020-10-29 23:55:28.118163
guns detected at: 2020-10-29 23:55:28.173536
